video_id,title,channel_name,category_name,view_count,like_count,comment_count,engagement_score,duration_seconds,thumbnail_url,published_at,processed_at
idvG0gn6GkQ,INDIAN TRUCK DRIVER GAMEPLAY #shortsfeed #shortslive #shorts #ets2 #live #dangerous #1,Yang Is Live,Gaming,760471,11029,0,1.4502854152229343,4185,https://i.ytimg.com/vi/idvG0gn6GkQ/hqdefault.jpg,2026-03-14 13:49:27+00:00,2026-03-15 09:47:54.859724
Ga_k5envGAY,Yeru Yerulu Dhati Full Song | Relare Ganga | Kalyan Keys | Hanmanth Yadav | Vaishnavi Sony,Relare Ganga,Music,31843,1804,69,5.881983481455893,263,https://i.ytimg.com/vi/Ga_k5envGAY/hqdefault.jpg,2026-03-14 11:53:36+00:00,2026-03-15 09:47:54.859724
RoHTt2why7Y,roblox best gameplay,StanRP,Gaming,598595,4818,5,0.8057200611431768,22,https://i.ytimg.com/vi/RoHTt2why7Y/hqdefault.jpg,2026-03-14 07:18:51+00:00,2026-03-15 09:47:54.859724
9SOtyn49oHY,पापमोचनी एकादशी स्पेशल Top10 Vishnu Bhajan | Ekadashi Katha Song | Papmochani Ekadashi Bhajan 2026,Bhakti Song mp3,Music,4316,55,5,1.3901760889712698,5926,https://i.ytimg.com/vi/9SOtyn49oHY/hqdefault.jpg,2026-03-15 00:36:53+00:00,2026-03-15 09:47:54.859724
H7AFRJVGhe4,Sakhi re bar pa gaini ban jala khas kahu pahila najariya me😭😭😭#freefire #freefiresong #sad #sadsong ,Dɢ sᴀʀᴋᴀʀ08,People & Blogs,61251,261,7,0.43754387683466395,302,https://i.ytimg.com/vi/H7AFRJVGhe4/hqdefault.jpg,2026-03-12 02:06:48+00:00,2026-03-15 09:47:54.859724
UidUOXuSJVU,Asla,Watan Sahi - Topic,Music,136981,3103,68,2.314919587388032,127,https://i.ytimg.com/vi/UidUOXuSJVU/hqdefault.jpg,2026-03-12 10:02:50+00:00,2026-03-15 09:47:54.859724
tfLk1xAFApU,LIVE 🛑GTA V  RACING STREAM WITH HIGH SPEED CARS !! #gta5  #gtav #gaming,KING SACHU,Gaming,512770,2797,4,0.5462488055073424,3546,https://i.ytimg.com/vi/tfLk1xAFApU/hqdefault.jpg,2026-03-14 07:52:54+00:00,2026-03-15 09:47:54.859724
WgmARIX1Y5A,Madhuri Dixit 90's Song : Palki Mein Hoke Sawar Chali Re - Khal Nayak | Alka Yagnik | Evergreen Song,Geetmala,Music,749418,1475,8,0.19788689356273803,465,https://i.ytimg.com/vi/WgmARIX1Y5A/hqdefault.jpg,2026-03-09 11:30:34+00:00,2026-03-15 09:47:54.859724
tALBRb6L45g,"GodLike LOVE but SouL ROAST 😬💔 CRYING on Live BGIS?😭 | Full STORY & All SHOCKED Reaction, BGMI😍 OMG!",GamingNews15K,People & Blogs,50639,2782,318,6.121763857896088,898,https://i.ytimg.com/vi/tALBRb6L45g/hqdefault.jpg,2026-03-14 17:49:40+00:00,2026-03-15 09:47:54.859724
Poo_7YDMcqw,"भक्ति भजन : कर्पूर गौरम करुणावतारं, ॐ नमः शिवाय, शिव अमृतवाणी, चालीसा व आरती",Namo Bhakti Marg,Music,68441,426,25,0.6589617334638593,3571,https://i.ytimg.com/vi/Poo_7YDMcqw/hqdefault.jpg,2026-03-09 22:30:07+00:00,2026-03-15 09:47:54.859724
